r_over_D,Nu_PINN
8.093645484949832,1.553728020291083
8.127090301003344,1.5278670261127385
8.160535117056856,1.5042757063142957
8.193979933110366,1.4831978857537875
8.227424749163879,1.4647664701381178
8.26086956521739,1.4490072536320924
8.294314381270903,1.4358488780363623
8.327759197324415,1.4251371935189794
8.361204013377925,1.4166512526945625
8.394648829431437,1.410119866829585
8.42809364548495,1.4052364862754443
8.461538461538462,1.401672405129312
8.494983277591972,1.3990874310243417
8.528428093645484,1.3971380094430956
8.561872909698996,1.3954837358956629
8.595317725752508,1.39379257414708
8.62876254180602,1.3917459153524518
8.66220735785953,1.38904379628437
8.695652173913043,1.3854117933325543
8.729096989966555,1.3806100907649166
8.762541806020067,1.3744435989978017
8.79598662207358,1.3667735471215348
8.82943143812709,1.3575271557122255
8.862876254180602,1.3467049762898453
8.896321070234114,1.334382588302754
8.929765886287626,1.3207071733401858
8.963210702341138,1.3058901438557133
8.996655518394649,1.2901954763986236
9.03010033444816,1.2739260508884809
9.063545150501673,1.2574104989850405
9.096989966555185,1.240989978215098
9.130434782608695,1.2250081385514706
9.163879598662207,1.209800548078169
9.197324414715718,1.1956845641139995
9.23076923076923,1.1829457149117393
9.264214046822742,1.1718203479913503
9.297658862876252,1.162479402725442
9.331103678929765,1.1550188966197676
9.364548494983277,1.1494644965652945
9.397993311036789,1.1457924872032608
9.431438127090301,1.1439624803019308
9.464882943143811,1.1439599666436004
9.498327759197323,1.1458429300683184
9.531772575250836,1.1497946024803585
9.565217391304348,1.1561889780571084
9.59866220735786,1.165668800294224
9.63210702341137,1.1792444113543128
9.665551839464882,1.198417472845088
9.698996655518394,1.2253499324474628
9.732441471571907,1.263110786678047
9.765886287625417,1.3160551766262667
9.799331103678929,1.390404576357903
9.832775919732441,1.495093110917039
9.866220735785953,1.6428733856867537
9.899665551839465,1.5069299492064168
9.933110367892976,1.3668159505223967
9.966555183946488,1.2208751327365952
10.0,1.066808622729097
